,cut_true_function,cut_false_function,cut_true_effect,cut_false_effect
1617,温寒补虚,,痨伤血瘀,已溃未溃
1618,益气升阳,,尿频余沥,皮肤痒疹
1619,补脾健胃,,厥阴头痛,伤口溃烂
1620,散淤消肿,,跌仆伤痛,慢性肝炎
1621,淡渗利水,,肿胀疼痛,淋巴结肿
1622,降逆止呕,,虚劳气怯,腹部胀痛
1623,健脾和胃,,发痧肚痛,腰肢冷痛
1624,解毒止血,,津伤便秘,口鼻生疮
1625,止痛止咳,,寒湿带下,接骨疗
1626,祛风化痰,,瘀血内结,麻疹痘毒
1627,养心除烦,,胃痛吐酸,金疮出血
1628,利水肖肿,,头昏乏力,肺阴虚嗽
1629,消肿拔毒,,脚气水肿,带下清稀
1630,温中下气,,天泡湿疮,寒热夹杂
1631,护肤剑疮,,自汗盗汗,内外翳障
1632,益肾固精,,风热湿痹,湿阻脾胃
1633,顺气活血,,肿打损伤,痰滞不散
1634,生肌止痛,,解热凉血,赤白漏下
1635,补肾壮骨,,久泻脱肛,各种恶疮
1636,止血止带,,热毒血痢,头风热痛
1637,散瘀活血,,腹胀食少,留滞肤表
1638,定惊止痉,,久咳失音,酗酒过度
1639,疏肝调经,,劳伤吐血,月经不凋
1640,敛汗涩肠,,时疫温病,中风瘫痪
1641,化湿消暑,,跌打抽伤,四肢拘挛
1642,解毒燥湿,,血虚头昏,男子阳痿
1643,清热镇惊,,风热痘毒,产后瘀痛
1644,行气消滞,,跌打肿痛,慢性湿疹
1645,散寒除痹,,风毒脚气,头疮白秃
1646,宽胸利膈,,风瘙身痒,慢性鼻炎
1647,散寒除湿,,虚劳精亏,大小便闭
1648,止血解毒,,胞闷气喘,疥癣湿痒
1649,舒肝利胆,,阳萎不孕,痰少且稠
1650,祛风定惊,,多眵多泪,热病后期
1651,消暑止渴,,畏寒肢冷,胃肠气胀
1652,消热明目,,虚劳久嗽,视物不清
1653,调经行血,,神疲多眠,热毒病证
1654,理血祛风,,食积痞胀,感受风寒
1655,补肺益肾,,目赤目翳,四肢酸软
1656,行气理血,,神疲畏寒,口腔疾病
1657,散风除湿,,跌打瘀积,筋骨挛痛
1658,益阴退热,,风火上炎,筋骨软弱
1659,补心安神,,肺病咳嗽,暑热口渴
1660,止咳解毒,,风湿脚肿,虚烦不寤
1661,健脾消食,,痰饮喘促,蚊虫咬伤
1662,除痰开噤,,脾虚泄痢,夏季伤暑
1663,健脾化积,,祛风寒,胸脘痞闷
1664,泻热利尿,,肝胆湿热,脾胃气虚
1665,清热利胆,,气短喘急,疝瘕积聚
1666,镇痛解痉,,疮疖肿痛,产后体虚
1667,和胃健脾,,头晕心慌,烦燥不安
1668,补肾益精,,阴虚口渴,小儿咳喘
1669,健脾理湿,,肾虚耳鸣,神昏不语
1670,宽中下气,,疥疮身痒,男子遗精
1671,镇惊安神,,疔疮痈毒,湿热淋证
1672,消滞和中,,久咳喘息,脚气湿烂
1673,抗菌消炎,,痈疖疥疮,呼吸不利
1674,宣肺散热,,伤酒口渴,外疗疥癣
1675,滋阴除热,,风热声哑,胃脘妨闷
1676,止血生肌,,血虚烦热,蕲蛇咬伤
1677,调经化瘀,,咽痛咳嗽,产后瘀滞
1678,补血行血,,风火赤眼,乳房结块
1679,祛风去湿,,潮热咯血,角膜翳障
1680,滋阴润肺,,中暑高热,食滞纳呆
1681,活血透疹,,癥瘕痞块,目晴伤损
1682,凉血泻肝,,虚风眩晕,痰中带血
1683,滋阴润操,,阴疽肿痛,两目干涩
1684,息风安神,,多悸怔忡,肢体拘急
1685,解表截疟,,身热斑疹,毒之咬伤
1686,理气活络,,跌打创伤,传化失常
1687,润肺祛痰,,痈疖疮毒,胸背疼痛
1688,补脾止泻,,惊癫抽搐,漏疮生管
1689,解热消炎,,血气心痛,寒痰咳喘
1690,疏风宣肺,,胸膈痞胀,阴部搔痒
1691,疏风解表,,风热瘾疹,一般疮毒
1692,强心消肿,,肝虚目暗,视物昏暗
1693,杀虫排脓,,瘀积疼痛,皮肤湿痒
1694,凉肝明目,,头痛无汗,月经不谳
1695,疏风透疹,,脘闷腹痛,抑郁不欢
1696,化痰软坚,,心慌气短,心神不安
1697,降气止咳,,暑湿下痢,肝胃不和
1698,清痰止咳,,阳虚内寒,斑疹隐隐
1699,滋肾养肝,,风湿脚气,刀伤金创
1700,泻火行水,,面黄肌瘦,脘腹胀育
1701,利尿化瘀,,疮痈疖疽,头目昏眩
1702,凉血散毒,,尿淋涩痛,烦热不安
1703,理气消肿,,泻痢下重,心性水肿
1704,泻肺降气,,胃逆呕吐,虚烦不眠
1705,舒肝健胃,,尿频尿多,大便溏泻
1706,清暑利湿,,热结腹痛,目赤疼痛
1707,补中益气,,赤白久痢,女子不孕
1708,发汗利尿,,惊痫癫狂,耳目不聪
1709,驱风理气,,大风瘌疾,中风偏枯
1710,消炎利水,,风痹筋挛,内伤于湿
1711,清热解渴,,喉闭口噤,小儿解颅
1712,润肺滋肾,,疔疮痈疖,小儿失音
1713,疏风祛湿,,风湿感冒,小儿肺炎
1714,止血化瘀,,肺痈吐脓,发为崩漏
1715,续伤止痛,,湿热疮毒,女子经闭
1716,健脾消疳,,虚伤赢瘦,四肢浮肿
1717,利气消痰,,胸闷胁胀,目亦羞明
1718,通淋杀虫,,肾虚腰冷,水气浮肿
1719,清热燥湿,,丹毒水肿,小便淋痛
1720,镇吐理气,,中恶猝倒,白带增多
1721,接骨消肿,,酸软乏力,疼的疖肿
1722,驱风除温,,血热衄血,汗出不止
1723,舒筋通络,,疮疖痈肿,久热不退
1724,利尿止泻,,咳嗽咳痰,厌食油腻
1725,益气止汗,,淋浊白带,虫积不化
1726,温中消积,,舌淡苔白,斑痧热症
1727,化痰散结,,瘾疹热疮,小肠湿热
1728,温脾止泻,,遗尿尿频,水肿初起
1729,清热利尿,,热毒痈肿,小便涩痛
1730,复脉固脱,,劳嗽痰血,肢体麻痹
1731,凉血活血,,火眼目翳,胃痛出血
1732,清热敛疮,,腰酸耳鸣,小儿虫积
1733,祛瘀消肿,,皮炎湿疹,两胁胀满
1734,排痈消肿,,痰饮喘满,夜卧不安
1735,温阳利水,,口干舌燥,大便带血
1736,养阴止咳,,血热鼻衄,咯痰带血
1737,燥湿杀虫,,咳嗽胸闷,胎动下血
1738,养阴润肺,,头晕眼花,子宫虚冷
1739,辛凉透疹,,伤食胸痞,赤游丹毒
1740,泻火退热,,风湿红肿,眼睑缘炎
1741,续伤消肿,,便血尿血,胃腹胀痛
1742,,,食滞中脘,痰黄稠粘
1743,,,驱虫蛔虫,慢性疮疡
1744,,,肺痰吐血,胸腹瘀痛
1745,,,阴虚便秘,阻痹气血
1746,,,风湿痹痈,咳痰不利
1747,,,扭伤肿痛,肉积不消
1748,,,风热头痛,皮肤感染
1749,,,劳伤发热,胎热不安
1750,,,肾虚精亏,脚气肿胀
1751,,,喘咳气急,目暗昏糊
1752,,,亡阳厥逆,中气不足
1753,,,胸闷腹胀,肿毒疮疥
1754,,,肠炎泄泻,麻疹不出
1755,,,胃寒呕吐,产后体弱
1756,,,早泄阳痿,瘀滞作痛
1757,,,疥疮湿癣,食欲不佳
1758,,,目赤肿毒,宿食不化
1759,,,胸闷气结,急性肾炎
1760,,,哮喘痰咳,癫痫发狂
1761,,,痰多气喘,咯血诸证
1762,,,阳盛阴虚,肝胆疼痛
1763,,,疮痈疽疔,癣疮瘙痒
1764,,,吐血气痈,痘疮不起
1765,,,中寒胃痛,散头风
1766,,,热病心烦,咽喉干燥
1767,,,肚痛腹泻,耳内疼痛
1768,,,肠风痔疾,心腹热渴
1769,,,泄泻带下,肾阴不足
1770,,,头痛发烧,劳倦乏力
1771,,,水肿胀满,妇人劳损
1772,,,疮癣疮疡,热毒而肿
1773,,,气滞疼痛,小儿癣疮
1774,,,阳痿遗精,脾气下陷
1775,,,肝病腹水,伤及肾气
1776,,,眩晕头痛,大便虚秘
1777,,,肺热咳喘,生气加重
1778,,,口干咽燥,风火眼疾
1779,,,血虚体弱,中脘腹痛
1780,,,上气烦满,痢疾初起
1781,,,咳嗽痰壅,产后脚肿
1782,,,干湿癣疮,肝肾服虚
1783,,,肺痿肺痈,先兆流产
1784,,,烦躁失眠,肺病吐血
1785,,,面红目赤,带下疳积
1786,,,阴虚潮热,嗽逆上气
1787,,,厌食腹胀,内痔便血
1788,,,骨折肿痛,盗汗遗精
1789,,,肠热下血,疮疹湿痒
1790,,,肺虚咳嗽,皮肤麻木
1791,,,痢疾泄泻,蛇虫出血
1792,,,跌打瘀肿,寒性咳嗽
1793,,,胸闷痰多,伤外出血
1794,,,风热赤眼,中风口僻
1795,,,扭挫损伤,腹内症瘕
1796,,,风疹疥癣,热病惊痫
1797,,,盗汗瘰疬,产后气滞
1798,,,热邪伤津,腹部冷痛
1799,,,发痧气痛,症见头痛
1800,,,痨伤久咳,胃纳不佳
1801,,,胸膈满闷,萎痹不仁
1802,,,烫伤烧伤,唾腺肿瘤
1803,,,疔毒恶疮,产后发热
1804,,,跌仆闪挫,肌肉不仁
1805,,,胃热呕呃,小便短亦
1806,,,风炎赤眼,眼目青盲
1807,,,痈疮湿疹,酒后口渴
1808,,,骨蒸劳嗽,子官脱垂
1809,,,燥热咳嗽,无名毒疮
1810,,,肝热目糊,痈疮溃烂
1811,,,蕴结中焦,腰膝酸重
1812,,,痈疡疮疖,肠风痢疾
1813,,,虚弱头晕,眼生翳膜
1814,,,胸胁满闷,腹痛后重
1815,,,跌打肿伤,预防麻疹
1816,,,阴虚内热,胃肠冷痛
1817,,,虚劳潮热,慢性风湿
1818,,,恶疮肿痛,孕妇腹痛
1819,,,感冒发烧,皮肤热毒
1820,,,泻痢脱肛,蛇虫犬咬
1821,,,肠滑久泻,动即加重
1822,,,温病高热,骨节烦疼
1823,,,瘀血疼痛,水道不利
1824,,,肺热气逆,肺脾气虚
1825,,,虚弱干瘦,肚胃气痛
1826,,,痰热惊痫,内痔出血
1827,,,风眼烂弦,风眼流泪
1828,,,肺病咳喘,妊娠热病
1829,,,痈肿疔毒,肿痒疼痛
1830,,,水泻腹痛,肋骨疼痛
1831,,,湿热蕴阻,产后浮肿
1832,,,反胃呕逆,肝阳上讥
1833,,,牙痛口糜,伤酒热渴
1834,,,寒湿水肿,风眼赤烂
1835,,,胸闷疼痛,关节疼痛
1836,,,咽肿喉痹,乳汁滞少
1837,,,谵语发狂,肢体疼痛
1838,,,失眠头昏,热邪袭表
1839,,,瘰疬疖肿,筋肉挛急
1840,,,红肿疼痛,跌年伤痛
1841,,,暑湿泻痢,巅顶头痛
1842,,,气郁胸闷,虚汗不止
1843,,,吐血尿血,甘肃麻疹
1844,,,疖泻痢疾,农药中毒
1845,,,气虚下痢,肝火燔灼
1846,,,肺痈咯血,热结膀胱
1847,,,虚劳肺痿,胞胁胀满
1848,,,中暑呕吐,冻疮流水
1849,,,中风面瘫,心律不齐
1850,,,疮疡疮癣,温痹酸痛
1851,,,气滞心痛,皮肤溃疡
1852,,,疳积发热,腰膝无力
1853,,,气虚血亏,胞胁胀痛
1854,,,翻胃吐食,筋脉拘孪
1855,,,积食饱胀,腰腿酸软
1856,,,霍乱叶泻,直肠出血
1857,,,时疹疮毒,疹出不畅
1858,,,伏饮痰喘,月经量少
1859,,,肠痈腹痛,血虎萎黄
1860,,,痰饮胸水,大便不利
1861,,,呕吐泻痢,咳嗽或喘
1862,,,跌打腰痛,阴部疳疮
1863,,,胸闷肋痛,头身悉痛
1864,,,痰热温疟,疲乏无力
1865,,,疮疽痔瘘,内脏下垂
1866,,,瘢痕疙瘩,胸前饱胀
1867,,,脾虚腹胀,小便短少
1868,,,跌扑瘀血,皮肤疾病
1869,,,遗精阳痿,中焦虚寒
1870,,,祛暑生津,体虚浮肿
1871,,,消渴引饮,虫蛇咬伤
1872,,,脾虚浮肿,小儿皮炎
1873,,,疥癞癣疮,蜂虫刺咬
1874,,,胸闷脘痞,皮肤痈疽
1875,,,高热烦渴,筋骨损伤
1876,,,温热斑疹,损伤呕血
1877,,,劳瘦骨蒸,胃酸缺乏
1878,,,不孕少乳,咽部肿痛
1879,,,头晕气短,刀伤止血
1880,,,肾虚骨蒸,病后贫血
1881,,,痈疽恶疮,风湿痹证
1882,,,内伤瘀血,皮肤紫癜
1883,,,疥癣疮疡,肢麻拘孪
1884,,,胸闷郁结,火眼赤痛
1885,,,纳呆食少,目中生翳
1886,,,疔痈疮毒,妇女虚痨
1887,,,痈疮热疖,老年体衰
1888,,,耳热瘙痒,四肢不爽
1889,,,疖肿疮疡,周身麻木
1890,,,麻疹肿毒,心烦不安
1891,,,乏力食少,粘膜发炎
1892,,,湿热留滞,听觉减退
1893,,,目赤目昏,腹痛不适
1894,,,风热目赤,皮肤裂痛
1895,,,痈疮溃疡,半身不遂
1896,,,气短心悸,产后风痛
1897,,,口臭苔腻,挛急疼痛
1898,,,虚寒泄泻,外感风寒
1899,,,嗳腐吞酸,下肢溃疡
1900,,,血瘀腹痛,历节风痛
1901,,,焮红肿胀,咽喉红肿
1902,,,症瘕痞块,肿热咳嗽
1903,,,劳伤疲乏,痘疹不透
1904,,,肾亏阳痿,肝经湿热
1905,,,咽肿口疮,胃炎疼痛
1906,,,湿热淋痛,肢体痹痛
1907,,,头晕乏力,头风眩痛
1908,,,尿频遗溺,少腹蓄血
1909,,,冷气腹痛,目赤涩痛
1910,,,寒饮喘咳,胃气不舒
1911,,,显热泻痢,皮肤癌痒
1912,,,感冒身热,小儿肝热
1913,,,疔肿恶疮,筋脉拘急
1914,,,湿热吐泻,小便赤涩
1915,,,麻疹高烧,癌症初起
1916,,,肺虚劳嗽,胆经热病
1917,,,血热瘙痒,咳嗽音哑
1918,,,益气宜脾,流汁绵绵
1919,,,痧气腹痛,夜寐不安
1920,,,壮热烦渴,腹中积聚
1921,,,热症牙痛,内服腹泻
1922,,,骨蒸潮热,肛门坠痛
1923,,,目赤翳障,妇女崩漏
1924,,,痈肿热毒,脚膝肿痛
1925,,,外伤感染,麻疹不诱
1926,,,牙疳口疮,实热积滞
1927,,,肺寒咳喘,胸胁苦满
1928,,,木舌舌胀,胸中痞闷
1929,,,目赤羞明,可疗淋病
1930,,,恶心呕吐,毒菇中毒
1931,,,外咳气喘,脾气虚损
1932,,,冷痢赤白,寒湿脚气
1933,,,目赤翳膜,水田皮炎
1934,,,骨折伤痛,龄齿疼痛
1935,,,湿热下注,食后饱胀
1936,,,痰少咽燥,痔疮漏管
1937,,,咳嗽痰稠,小儿伤食
1938,,,瘀血头痛,小儿咳嗽
1939,,,久泻久痢,牙龈出血
1940,,,胃火牙痛,脘腹满痛
1941,,,咯血鼻衄,小腹暴痛
1942,,,水臌腹胀,大便久泻
1943,,,痈疖恶疮,纳后腹胀
1944,,,脘胀腹痛,水火汤伤
1945,,,疮毒痈疖,兼以发热
1946,,,中寒腹痛,关节结核
1947,,,惊悸失眠,腹生结块
1948,,,胃寒作吐,面赤肿痛
1949,,,痈肿疔疖,泻痢后重
1950,,,疥癣癣疮,二便秘涩
1951,,,疫毒黄疸,痰多咳嗽
1952,,,高热关痛,疲劳过度
1953,,,下疳阴疮,手足不遂
1954,,,瘰疬黄疸,痔疮脱肛
1955,,,中风头眩,羞明怕光
1956,,,热病谵妄,疮溃不敛
1957,,,津少口渴,疮面腐烂
1958,,,瘫痪麻木,子宫脱出
1959,,,鼻渊流涕,小儿头疮
1960,,,气喘痰多,痔瘘下血
1961,,,扭伤瘀痛,腰部扭伤
1962,,,癫痫惊狂,风寒湿痹
1963,,,风湿麻木,夏令伤暑
1964,,,实热便闭,形体消瘦
1965,,,肾虚赢瘦,痛经诸证
1966,,,咳嗽气逆,咳嗽无力
1967,,,体虚多汗,风痰闭窍
1968,,,痒痛疥癣,脚丫湿烂
1969,,,顽癣恶疥,心腹胀痛
1970,,,肝热抽搐,小便不畅
1971,,,麻疹高热,热病消渴
1972,,,红肿热痛,风寒痹证
1973,,,﻿祛风热,头风白屑
1974,,,热病大渴,风寒表证
1975,,,疔疮疥癣,瘰疬溃烂
1976,,,发斑发疹,七窍出血
1977,,,宫寒不孕,热甚昏迷
1978,,,瘀血阻络,脘腹冷积
1979,,,呕吐吞酸,并可灭蛆
1980,,,外障目翳,水谷不化
1981,,,心烦口渴,远视不明
1982,,,蛔厥腹痛,噎膈初起
1983,,,腹胀疳积,腰脚无力
1984,,,脾虚肿满,迫血妄行
1985,,,乳痈瘰疬,恢复疲劳
1986,,,气虚体弱,头身疼痛
1987,,,热病抽搐,小便赤赤
1988,,,心悸惊痫,肌肤粗裂
1989,,,湿疮肿毒,各种出血
1990,,,中暑腹痛,恶疮疔毒
1991,,,散风热,停留胃中
1992,,,夜梦遗精,面部紫肿
1993,,,头晕失眠,带下及钩
1994,,,胸膈气滞,肌肉缺损
1995,,,外感咳嗽,风寒袭肺
1996,,,头晕目昏,筋骨痞软
1997,,,白癞头疮,外伤肿痛
1998,,,扭伤痈肿,疮疡化脓
1999,,,痈肿疮瘘,乳汁不通
2000,,,暴热烦渴,肌肤枯涩
2001,,,吞酸反胃,产后风瘫
2002,,,痰喘气壅,瘀血留聚
2003,,,暑湿胸闷,熏蒸肝胆
2004,,,口臭纳差,妇女痛经
2005,,,虚弱赢瘦,产后乳少
2006,,,口疮乳痈,腰背疼痛
2007,,,阴虚久嗽,症瘕诸症
2008,,,风火烂眼,肝肾阴虚
2009,,,消瘦神悴,风疹搔痒
2010,,,虚寒泻痢,肢体僵硬
2011,,,风湿热痹,慢性肠炎
2012,,,目赤流泪,寒喘皆之
2013,,,肾虚劳损,小便淋病
2014,,,风热客表,流感初期
2015,,,补气血,营养不良
2016,,,肺热干咳,不能伸缩
2017,,,疮疹顽癣,风寒之邪
2018,,,疥癣瘰疬,大便溏泄
2019,,,阴虚咳嗽,乳房硬肿
2020,,,续筋骨,风痰咳嗽
2021,,,胸膈饱满,腹部疼痛
2022,,,热病烦满,可外疥疮
2023,,,肠热便秘,日久不止
2024,,,气痞腹痛,产后虚赢
2025,,,风湿瘫痪,治肺痈
2026,,,干咳痰少,脘腹不适
2027,,,风热癍疹,全身悉痛
2028,,,痈疽疔疮,温病初起
2029,,,寒疝腹痛,肠道出血
2030,,,劳倦内伤,腰脚冷痛
2031,,,跌扑伤痛,感冒头痛
2032,,,刀伤金疮,肝郁化火
2033,,,痛疽恶疮,胸部刺痛
2034,,,湿热痒疮,体虚自汗
2035,,,虚烦口渴,脚膝疼痛
2036,,,疔疮瘰疬,胃有食积
2037,,,头晕脑胀,伤暑腹胀
2038,,,胸闷腹痛,胃气疼痛
2039,,,咳嗽喘满,筋脉挛痛
2040,,,胃热津伤,枪炮创伤
2041,,,淤血肿痛,皮肤湿疹
2042,,,水肿尿水,无论内服
2043,,,寒疝气痛,疲惫乏力
2044,,,湿毒疥疮,脘腹痞胀
2045,,,痈毒疮疖,肝肾亏损
2046,,,痈肿疥癣,瘾疹瘙痒
2047,,,心热烦躁,腹部胀满
2048,,,跌打疼痛,青盲内障
2049,,,胀满喘急,肌肉消瘦
2050,,,吐逆反胃,脚气浮肿
2051,,,脾虚久痢,手足心热
2052,,,泄泻久痢,肛门湿烂
2053,,,头昏头痛,毒峰螫伤
2054,,,风寒头痛,寒性吐泻
2055,,,疮疡疖肠,往来寒热
2056,,,发热关痛,手臂酸麻
2057,,,血疼腰痛,脘腹气痛
2058,,,心痛滞气,小儿口疮
2059,,,湿疹疥瘌,肝胃气滞
2060,,,风热发疹,带下不止
2061,,,下焦气虚,暑热腹泻
2062,,,肾亏腰痛,身发斑痧
2063,,,虚证白喉,孕妇水肿
2064,,,肝郁胁痛,苦瓠中毒
2065,,,阳痿精寒,月经不调
2066,,,少气失精,腰肌痨损
2067,,,燥咳无痰,腰膝冷痹
2068,,,疳积腹胀,胃寒冷痛
2069,,,疝气瘰疬,劳伤无力
2070,,,疟母癓瘕,麻疹初起
2071,,,瘀滞肿痛,腰痛绵绵
2072,,,肺炎咳喘,蛇伤诸症
2073,,,形赢面白,神倦欲眠
2074,,,疥癣虫疮,痱子瘙痒
2075,,,虚劳腰痛,面足浮肿
2076,,,腹痛便溏,疥癣瘙痒
2077,,,痧胀吐泻,脑转耳鸣
2078,,,势痹肿痛,外阴瘙痒
2079,,,疮肿湿毒,水温肿满
2080,,,瘀滞痛经,气血两虚
2081,,,血热生风,慢性咳喘
2082,,,血虚肾亏,蛔早腹痛
2083,,,胃热呕吐,四肢不仁
2084,,,惊风撮口,精神郁闷
2085,,,气滞血瘀,胃腹冷痛
2086,,,霍乱吐泻,腹脏风壅
2087,,,骨折筋伤,留滞经络
2088,,,疳积疟疾,胎漏难产
2089,,,气逆胸满,痹症疼痛
2090,,,肾亏不育,早期癌症
2091,,,咳吐脓血,乳少不畅
2092,,,阴痒肿痛,眼目赤痛
2093,,,跌打红肿,眼起星翳
2094,,,痰饮咳嗽,蝎蜂螫伤
2095,,,脘痞吐泻,四肢痹痛
2096,,,虚劳发热,两肋胀满
2097,,,脚弱无力,能宣肺气
2098,,,黏稠难咯,中风头痛
2099,,,肺痨体虚,钩吻中毒
2100,,,血结胸痛,内脏出血
2101,,,小儿食积,皮肤疖肿
2102,,,痰饮咳逆,疹发不透
2103,,,肾虎腰痛,纳减嗳腐
2104,,,痰饮喘息,久溃不敛
2105,,,食积泻痢,妇人白带
2106,,,胸闷心烦,喉中痰壅
2107,,,腹痛泄泻,喉痹肿痛
2108,,,风湿疥癣,四肢厥冷
2109,,,疮肿疔毒,瘀滞得去
2110,,,阴疽痰核,疥疮瘙痒
2111,,,虚热乏力,及咽喉炎
2112,,,口苦目赤,风癞疬疡
2113,,,署湿泄泻,皮肤疮痒
2114,,,痈疽疮癣,小便不禁
2115,,,劳伤咯血,纳少胀痛
2116,,,发背肿毒,肾脚痿弱
2117,,,热毒泻痢,筋脉拘挛
2118,,,跌仆晕厥,纳谷不香
2119,,,胆汁瘀积,神志失常
2120,,,疮疡疖肿,伤及阴络
2121,,,伤寒发热,妊娠腹痛
2122,,,痈肿折伤,胃火头痛
2123,,,流感发烧,妇女血崩
2124,,,虚劳内伤,夏令感冒
2125,,,胃寒脘痛,胸胁疼痛
2126,,,疮疡疥痔,慢性腹泻
2127,,,下痢赤白,胁肋胀满
2128,,,金创刀伤,消化不良
2129,,,化脓疮疡,视物昏花
2130,,,血少经闭,小二疳积
2131,,,劳伤咳嗽,眼生翳障
2132,,,中暑吐泻,经前腹痛
2133,,,外咳虚喘,痈疽溃烂
2134,,,水湿肿满,昏迷不醒
2135,,,结热胸痞,急性菌痢
2136,,,寒湿腹泻,脾胃不和
2137,,,胃痛食少,妊娠恶阻
2138,,,虚喘久咳,须发早白
2139,,,神疲头昏,肩背酸痛
2140,,,跌打闪挫,痰粘难咯
2141,,,口干便秘,咯痰黄调
2142,,,疮肿溃烂,头风疼痛
2143,,,热毒疮肿,心经郁热
2144,,,高热抽搐,妊娠水肿
2145,,,瘀血闭经,妇女经闭
2146,,,跌打刀伤,目赤痒痛
2147,,,痧秽中毒,创伤化脓
2148,,,烦满咳逆,眼目昏花
2149,,,眼花目赤,病后虚弱
2150,,,肾虚遗精,化脓感染
2151,,,烦渴引饮,肾部衰弱
2152,,,拘挛麻木,风寒外束
2153,,,疔毒痈肿,肢气肿毒
2154,,,跌扑创伤,齿龈溃烂
2155,,,壮热神昏,头目昏痛
2156,,,食积痞满,湿疹篷痒
2157,,,温热时病,创伤红肿
2158,,,消肿吐血,癫痫狂乱
2159,,,瘟疫发疹,前列腺癌
2160,,,热咳失音,小儿斑疹
2161,,,阴虚肺热,四肢痿痹
2162,,,眩晕昏仆,草药中毒
2163,,,喘促痰多,疮口不敛
2164,,,痰火痹疬,筋骨痿弱
2165,,,热病烦燥,腰骨酸痛
2166,,,脱力劳伤,产后虚弱
2167,,,内伤瘀痛,肢体麻木
2168,,,疔疮发热,腰背冷痛
2169,,,祛湿瘙痒,咽喉肿痹
2170,,,积食腹胀,手足皲裂
2171,,,肝炎胁痛,脘腹胀满
2172,,,热毒乳痈,腰部冷痈
2173,,,胃热口苦,无明中毒
2174,,,心悸怔忡,迎风流泪
2175,,,青紫瘀痛,慢性咽炎
2176,,,肝热头晕,无明肿毒
2177,,,热病口渴,五脏劳损
2178,,,咳逆上气,手足顽麻
2179,,,脚气疝气,不得平卧
2180,,,湿阴脾胃,龋齿疼痛
2181,,,湿热痢疾,胸膈痞闷
2182,,,气虚浮肿,外感风邪
2183,,,肺痿咳嗽,宿食症瘕
2184,,,疔痈疮疹,毒疮溃烂
2185,,,热毒目翳,神志不安
2186,,,癫狂痰壅,胎衣不下
2187,,,痰多咳喘,筋骨酸痛
2188,,,痈肿疼痛,外伤疼痛
2189,,,久疟体虚,下元虚冷
2190,,,喘咳痰嗽,痈肿初起
2191,,,目昏多泪,肢体瘦弱
2192,,,惊悸怔仲,脾胃虚热
2193,,,疥癞顽癣,风湿麻痹
2194,,,症瘕结聚,泌乳障碍
2195,,,眩晕乏力,腰酸无力
2196,,,虚寒久泻,血虚诸证
2197,,,痨嗽痰血,手足厥冷
2198,,,血虚气弱,口舌麋烂
2199,,,体倦身沉,胸膈痰结
2200,,,头昏眼花,食积气胀
2201,,,瘀滞腹痛,肝经郁热
2202,,,趺打损伤,胸胁作痛
2203,,,湿热淋浊,齿龈肿痛
2204,,,恶露腹痛,泻痢不止
2205,,,跌损失血,鼻塞不通
2206,,,胎毒疮疹,四肢拘缓
2207,,,胃热口渴,肢节肿痛
2208,,,肾虚阳痿,阴部湿痒
2209,,,伤暑叶泻,疮毒生蛆
2210,,,伤寒热狂,久泻不愈
2211,,,疮痈疥癣,膀胱热结
2212,,,疮病疖肿,心腹气痛
2213,,,眩晕耳聋,肾精不足
2214,,,肺热外感,蜂虫螫伤
2215,,,虚热内灼,风湿曾痛
2216,,,热毒喉痹,足癣湿烂
2217,,,咯血吐衄,局部肿胀
2218,,,肺虚劳咳,外伤出血
2219,,,淋浊癃闭,脾胃亏损
2220,,,痈肿疮毒,喉咙疼痛
2221,,,骨蒸发热,耳鸣诸证
2222,,,顽痰咳嗽,常下黄稠
2223,,,顽癣恶疮,发多油腻
2224,,,昏暗羞明,老人尿频
2225,,,体弱消瘦,小儿府积
2226,,,呕吐反胃,蚊虫叮咬
2227,,,发热口干,精神疲乏
2228,,,泄泻虚滑,梅疮溃烂
2229,,,腹胀症积,筋脉挛急
2230,,,谵语抽搐,对口发背
2231,,,胸闷纳呆,月经停闭
2232,,,挫伤扭伤,两胁疼痛
2233,,,白浊带下,外感发热
2234,,,跌打外伤,小便赤痛
2235,,,头晕耳聋,乳房胀育
2236,,,肺胀喘急,二便不利
2237,,,虫积胃痛,肾阳不足
2238,,,烦热阳厥,口腔溃疡
2239,,,目赤黄疸,小便浑浊
2240,,,骨蒸痨热,眉棱骨痛
2241,,,虚烦失眠,风寒外感
2242,,,病疮肿毒,心阴不足
2243,,,暑湿发热,耳目肿痛
2244,,,寒湿腰痛,肺肾虚弱
2245,,,烦渴呕恶,小儿盗汗
2246,,,瘀滞崩漏,耳尖流脓
2247,,,胞闷咳喘,大腹胀满
2248,,,中风失音,头部外伤
2249,,,水肿便秘,小便热痛
2250,,,虚损赢瘦,尿道结石
2251,,,伤食纳少,鼓膜红肿
2252,,,怔忡烦乱,皮肤肿块
2253,,,热淋尿闭,肝风内动
2254,,,院腹胀痛,小腹疼痛
2255,,,肾虚头晕,耳内肿痛
2256,,,脾虚气弱,尿络结石
2257,,,淋痛溺血,云翳障目
2258,,,痈毒恶疮,妇女小产
2259,,,淋漓涩痛,外伤红肿
2260,,,潮热盗汗,毒索咬伤
2261,,,湿疹痒痛,神志恍惚
2262,,,麻疹痢疾,妇人乳少
2263,,,阴寒水肿,蜂虫鳌伤
2264,,,症瘕腹痛,四肢软弱
2265,,,虚烦惊悸,里寒腹痛
